ticker,date,time,headline,neg,neu,pos,compound,sentiment
fb,2019-01-04,06:22PM,"Facebook, Apple, Netflix, Amazon and Alphabet Power Friday Gains",0.0,0.631,0.369,0.4767,pos
fb,2019-01-04,05:15PM,"Earnings Reports for the Week of Jan. 7-11 (BBBY, KBH)",0.0,1.0,0.0,0.0,neu
fb,2019-01-04,04:55PM,COLUMN-Commentary: 2019 will be the year of more state control,0.0,1.0,0.0,0.0,neu
fb,2019-01-04,04:53PM,3 Tech Trends to Watch in 2019,0.0,1.0,0.0,0.0,neu
fb,2019-01-04,04:30PM,Will Denver's tech growth continue in 2019?,0.0,0.698,0.302,0.3818,pos
fb,2019-01-04,02:46PM,Facebook to Prioritize Video in 2019,0.0,1.0,0.0,0.0,neu
fb,2019-01-04,01:52PM,ScotteVest CEO: How a Facebook Passion Project Evolved into a New Business,0.0,0.75,0.25,0.4588,pos
fb,2019-01-04,01:47PM,"Millennials Load Up on Battered Apple, Facebook, GE",0.0,1.0,0.0,0.0,neu
fb,2019-01-04,01:00PM,FAANGs See a Weak Start to 2019: More Pain Ahead for ETFs?,0.419,0.581,0.0,-0.7574,neg
fb,2019-01-04,12:18PM,U[PDATE: Netflix shares soar 9% as Goldman adds stock to its Conviction List,0.0,0.845,0.155,0.296,pos
fb,2019-01-04,12:11PM,What Strategy Should Stock Pickers Use in 2019?,0.0,1.0,0.0,0.0,neu
fb,2019-01-04,11:54AM,7 Tech Stocks Without China Exposure,0.0,1.0,0.0,0.0,neu
fb,2019-01-04,11:08AM,Amazon (AMZN) Faces Strike Hurdles Before Epiphany in Spain,0.147,0.686,0.167,0.0516,pos
fb,2019-01-04,10:16AM,Apples stock price wont recover and 9 more bold predictions for 2019,0.0,0.776,0.224,0.4391,pos
fb,2019-01-04,10:06AM,Facebook Earnings: Mark Your Calendar,0.0,1.0,0.0,0.0,neu
fb,2019-01-04,10:03AM,RBC's Mahaney: Tech 'Reckoning' Already Occurred,0.0,1.0,0.0,0.0,neu
fb,2019-01-04,09:28AM,Mark Zuckerberg hits pause on his plan to sell billions of dollars worth of Facebook stock,0.0,0.888,0.112,0.2263,pos
fb,2019-01-04,08:35AM,Social Media ETF Stung By Analyst Downgrades,0.0,1.0,0.0,0.0,neu
fb,2019-01-04,08:33AM,Twitter Still Vulnerable to Hacking by Terrorist Groups,0.524,0.476,0.0,-0.765,neg
fb,2019-01-04,06:00AM,Apple vs. Facebook. Whos Had the Worse Run?,0.307,0.693,0.0,-0.4767,neg
fb,2019-01-04,05:26AM,Facebook Rises 3%,0.0,1.0,0.0,0.0,neu
fb,2019-01-03,10:59PM,[$$] Facebook Begins New Year in Fixer-Upper Mode,0.0,1.0,0.0,0.0,neu
fb,2019-01-03,05:45PM,Investors Are Focused Too Closely on Facebook and Google's Market Share,0.0,0.652,0.348,0.5859,pos
fb,2019-01-03,05:32PM,[$$] Facebook Begins New Year in Fixer-Upper Mode,0.0,1.0,0.0,0.0,neu
fb,2019-01-03,05:24PM,Facebook (FB) Reportedly Testing Dark Mode on Messenger,0.0,1.0,0.0,0.0,neu
fb,2019-01-03,04:10PM,"Google Stock Upgraded, Viewed As 'Most Defensive' FANG Amid Tech Sell-Off",0.0,0.878,0.122,0.101,pos
fb,2019-01-03,03:26PM,Is Facebook Stock the Best FANG Stock to Buy?,0.0,0.656,0.344,0.6369,pos
fb,2019-01-03,03:14PM,"Zuckerberg Paused His Selling of Facebook Shares, Analysts Say It's a Good Sign",0.0,0.662,0.338,0.6249,pos
fb,2019-01-03,01:36PM,What's Next For Apple (AAPL) After It Slashed Its Q1 Sales Forecast?,0.147,0.853,0.0,-0.2263,neg
fb,2019-01-03,01:31PM,Take the Money And Run From Twilio Stock,0.0,1.0,0.0,0.0,neu
fb,2019-01-03,12:25PM,3 Great Reasons You Should Be Bullish on Twilio Stock,0.0,0.661,0.339,0.6249,pos
fb,2019-01-03,10:42AM,Why Netflix Stock Will Rise Back Above $300 In 2019,0.0,1.0,0.0,0.0,neu
fb,2019-01-03,10:21AM,Facebook Under Fire for Collecting Data From Android Apps,0.231,0.769,0.0,-0.34,neg
fb,2019-01-03,10:08AM,Mark Zuckerberg Halts Stock Sales as Facebook Shares Tumble,0.0,0.784,0.216,0.296,pos
fb,2019-01-03,09:58AM,Facebook Falls 3%,0.981,0.019,0.0,-0.9993,neu
fb,2019-01-03,09:48AM,"Stock Market News For Jan 3, 2019",0.0,1.0,0.0,0.0,neu
fb,2019-01-03,09:34AM,Apple warning stoking fears of slowdown in Chinese econom...,0.426,0.574,0.0,-0.6369,neg
fb,2019-01-03,09:12AM,Why The FAANGs Are Crucial To A 2019 Market Rally,0.0,1.0,0.0,0.0,neu
fb,2019-01-03,09:07AM,"The Zacks Analyst Blog Highlights: Facebook, Wells Fargo, AT&T, Intel and Glaxo",0.0,0.846,0.154,0.25,pos
fb,2019-01-03,08:04AM,"3 Big Stock Charts for Thursday: Medtronic, Facebook and eBay",0.0,1.0,0.0,0.0,neu
fb,2019-01-03,06:00AM,Why Internet Censorship Doesnt Work and Never Will,0.0,1.0,0.0,0.0,neu
fb,2019-01-02,10:35PM,Technology Stocks: Should You Bail?,0.0,1.0,0.0,0.0,neu
fb,2019-01-02,06:46PM,Here's Why Facebook (FB) Stock Looks Like a Buy,0.0,0.737,0.263,0.3612,pos
fb,2019-01-02,05:16PM,New Guru Philippe Laffont's Top 5 Holdings,0.0,0.735,0.265,0.2023,pos
fb,2019-01-02,04:14PM,Should Mark Zuckerberg step away from Facebook?,0.0,1.0,0.0,0.0,neu
fb,2019-01-02,04:05PM,Facebook to Announce Fourth Quarter and Full Year 2018 Results,0.0,1.0,0.0,0.0,neu
fb,2019-01-02,02:25PM,Mighty FAANG Stocks No Longer A Sure Bet For 2019 Stock Year,0.163,0.667,0.17,0.0258,pos
